Author,Comment,Published At
@cute34-c3p,this song makes me dream about my non-existing crush,2025-02-08T11:33:15Z
@Rahul-y4x3v,Both are looking like a girl 👀,2025-02-08T11:16:08Z
@yuvraj_singh27,"If you ever see this song again, my dear, I want to tell you that I still love you, I'll forever love you, I'll not remember anything, just please come back to me. Maybe it was all because of me, I don't know that (forgive me if that's the fact), but I want to sing this song for you again :(",2025-02-08T09:25:54Z
@aryanmanik6573,❤,2025-02-08T08:19:05Z
@JennyMaeOchoco,"Yung Kai,Julia Ma,and this song💯👌",2025-02-08T07:30:27Z
@WeebWave01,"I love this song, its a masterpiece for me. That's why I start my YouTube channel with posted this lyrics song, but one one watch it😢😢. Its a good song guys why😞",2025-02-08T05:58:09Z
@WeebWave01,Please someone watch my lyrics too🥺,2025-02-08T05:52:34Z
@MamtaKumari-jp7zn,Your voice is super yung Kai best song ❤❤,2025-02-08T05:34:25Z
@sayanikhuntia5430,"Aint no way its 3 weeks ago 🤚--
It felt like a magestic music from 2000s",2025-02-08T04:08:54Z
@soumyaka3866,i'll imaginge we fell in love 🥹🩵,2025-02-08T03:05:19Z
@Eduardohu-wh8th,Ojalá llegase aquello que anhelo tanto.,2025-02-08T02:10:31Z
@maranlatseng4113,Are you both in relationship plz don't julia is mine plz let her go I Love her so much ❤,2025-02-07T23:03:02Z
@Hamphrey15Tumusiime,"Listening to this reminds me of my girl who left to the USA, one year after she changed, no communication, no replies and just like that she was nolonger mine",2025-02-07T22:01:42Z
@ugandanightcore6543,Is she frieren,2025-02-07T20:27:27Z
@mwah.tub4,OMGG JULIA MAA 😭💕🫶🏻,2025-02-07T15:17:45Z
@Jediknight-f1s,I tried getting with  my crush but my friend got with my friend from a drawing 😔 now I’m just lonely,2025-02-07T14:37:55Z
@knowledgehouse1941,I love this song .and it made ne cry 🙃❤️,2025-02-07T14:25:38Z
@gabisanarezzz,"Oh, no. Yung Kai, you got the caption wrong.",2025-02-07T13:58:48Z
@Achonthung,"""With my life is a thug nigga till the day i die""😂😂.. please don't hate me..tis video jut popped up in my Yt 😂",2025-02-07T13:31:42Z
@KellyDatil,This song can be an anniversary and a celebration for ur wedding too❤,2025-02-07T12:52:05Z
@MDD0521,I love it so much,2025-02-07T08:23:16Z
@eh.hachiii,👄🎀🪄,2025-02-07T05:28:14Z
@nics9562,Bro its giving WIFTY vibes,2025-02-07T05:14:15Z
@kunalzombade,The best song of 2025  ❤❤,2025-02-07T05:03:03Z
@Esila-md6co,Bu şarkı çok güzel,2025-02-07T04:53:08Z
@muthiaiskandar7796,i like this song. i will wait new song yung kai☺,2025-02-07T04:17:59Z
@surbhichauhan1215,0:48💙1.18❤,2025-02-07T04:10:45Z
@fcl8463,why is this song so irritating to listen to?,2025-02-07T03:02:12Z
@083pompamarisawonma8,This is amazing 🎉,2025-02-07T02:09:03Z
@mshehanaljufri,my favorite song 2025,2025-02-07T01:18:35Z
@Zala_vi1608,"My fav part :
I could walk you by and i'll tell without a thought..to he mineee, would you minddd ❤",2025-02-06T22:05:06Z
@krishnnakumarr2567,This is how a love song supposed to be ❤,2025-02-06T18:36:38Z
@SylvesterRogahn,nice,2025-02-06T15:07:00Z
@AlzelcarlmLagdamen,:),2025-02-06T15:02:21Z
@Heartbreak-HB,"Perfect slow, calming, loving song.",2025-02-06T13:55:35Z
@journosketch,listening to a love song while you are having fight with your wife is GREAT,2025-02-06T12:04:56Z
@rohmanhidayatkomon3827,Musik yg indah bahkan bagi seorang yg pernah patah hati,2025-02-06T09:46:36Z
@SarmonTokbi-ue7mm,My kisah❤,2025-02-06T09:04:06Z
@IstiakMahmudMaeen,This is song reminds me to you. I wish i could say to you my inner words💙,2025-02-06T08:40:46Z
@C388ag3,"Can we skip to the good part?

Yung Kai: yes",2025-02-06T08:09:25Z
@Irishuniverse00,"✨Yung kai""count me on your fan group ❤"" 🌟✨✨",2025-02-06T07:57:45Z
@Mikaila-0621,"your morning eyes I could stare like watching stars I could walk you by,and I'll tell without a though",2025-02-06T07:37:25Z
@roybayuputra7976,O.i..aa .. i..u..aa .. mik ...nyek ❤,2025-02-06T05:54:30Z
@ChitKoko-t2n,My alarm before 6:00am,2025-02-06T03:13:43Z
@Justa_crazy_life,8 days before i confess,2025-02-06T02:21:17Z
@Privjudaeaa,If this comment get 4k likes ill tell my crush a random thing (u guys pick what i should say),2025-02-05T18:23:33Z
@jadenkarim5367,wow his english is really good.,2025-02-05T18:18:07Z
@VickyJulio-c1k,💞💞💞💞,2025-02-05T17:48:59Z
@amaia-k5q,"I just found you on insta! This song makes me feel so warm and fuzzy, thankyou for making this, you are enlightening our souls^-^💕💕",2025-02-05T17:24:48Z
@FlowbroVR-Edits,If this comment gets 1k likes I will also confess to my crush,2025-02-05T17:08:09Z
@biskutsambal,ARGHHH when i started to rewatch WIFTY after a year I JUST REALISED BLUE’s MUSIC (especially the intro of the song) IS SO SIMILAR TO WIFTY SO I CANT STOP SINGING THIS SONG ALONGSIDE WATCHING THE SERIES(when a particular cute scene with the same bg music as blue played) ARGHH I DONT KNOW IF U WOULD READ THIS BUT THANK U FOR MAKING THIS MASTERPIECE!!!,2025-02-05T16:25:03Z
@janvikumari6938,It's in my daily playlist 🥹🤌🏻🌷💙✨,2025-02-05T15:40:02Z
@peacefriendmusic,"Hey all - I’ve got two songs here and on bandcamp and I’d so love for you to check them out!  I’ve got more coming soon, I promise <3

peace, friends",2025-02-05T14:56:12Z
@AllenDeGuzman-xc3px,if this comment get 500 i ask my crush if she love me,2025-02-05T14:43:59Z
@elangjawa-b6c,𝐆𝐀𝐑𝐔𝐃𝐀I38terpopuler di Indonesia🦅,2025-02-05T13:38:04Z
@davishk9130,Asian boy🤡🤧asian women 😻❤️😌,2025-02-05T13:30:16Z
@LilyPresents,This will be my wedding song and the song I’ll tell my kids about ❤,2025-02-05T12:53:30Z
@Flora_Hrris_139,🍂💛,2025-02-05T12:24:13Z
@Zzgang-bang,Sweet,2025-02-05T12:09:42Z
@rimuruadhz406,so biuteful,2025-02-05T11:40:57Z
@donalmomok8522,Ketika saya mengembala sapi saya teringat lagu ini versi seruling🎉❤,2025-02-05T10:34:07Z
@jyrobatibot2234,"""Mr. Shtark""",2025-02-05T10:26:30Z
@borude6322,"I trust the universe i get 1000 likes n fulfill my wishes n dream...
With my LOVE",2025-02-05T09:45:18Z
@KrishkaragathilKRK,So comfortable to sing with n the hell world.. blesses,2025-02-05T09:20:41Z
@createsomething7066,yo this is... so heartbreaking. yo. thank you.,2025-02-05T07:20:04Z
@AVIAA_30,If I get more than 1k likes I'll propose my crush,2025-02-05T07:01:56Z
